corpus_id,source_url,source_domain,document_title,document_family,artifact_type,retrieval_date,effective_date,jurisdiction,language,trust_level,corpus_status,storage_path,extraction_mode,parse_success,promoted_rule_count,has_table_data,notes,content_hash,duplicate_of,supersedes,superseded_by,discovered_by,last_reviewed_at,approved_by,review_notes
CORP-0001,,,2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,pdf_native_text,2026-03-11T09:45:34.162148+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/2025-2026-umass-international-travel-insurance-brochure.pdf,pdf-parse-native,True,3,False,Seeded from existing verified corpus,4ea9a298784894936556ad52e07f343a,,,,legacy_corpus,2026-03-11T09:45:34.162168+00:00,system_seed,Auto-approved from verified production corpus
CORP-0002,,,2026 amex _Platinum_TermsandConditions.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.164057+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/2026 amex _Platinum_TermsandConditions.pdf,pdf-parse-native,True,11,False,Seeded from existing verified corpus,c02bbb4d0ef048428fa0d01b983923c6,,,,legacy_corpus,2026-03-11T09:45:34.164061+00:00,system_seed,Auto-approved from verified production corpus
CORP-0003,,,2026-2027-ACIS-International-Protection-Plans.pdf,other,pdf_native_text,2026-03-11T09:45:34.165424+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/2026-2027-ACIS-International-Protection-Plans.pdf,pdf-parse-native,True,6,False,Seeded from existing verified corpus,ebc4b5e6aff6c0b48026a72ec90da14a,,,,legacy_corpus,2026-03-11T09:45:34.165427+00:00,system_seed,Auto-approved from verified production corpus
CORP-0004,,,American Airlines Conditions of Carriage.txt,airline,txt,2026-03-11T09:45:34.167089+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/American Airlines Conditions of Carriage.txt,txt-read,True,3,False,Seeded from existing verified corpus,a4072f13c799184862a1f07e1a29abe8,,,,legacy_corpus,2026-03-11T09:45:34.167091+00:00,system_seed,Auto-approved from verified production corpus
CORP-0005,,,American Express 2026 Benefit Guide.pdf,airline,pdf_native_text,2026-03-11T09:45:34.170916+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/American Express 2026 Benefit Guide.pdf,pdf-parse-native,True,3,False,Seeded from existing verified corpus,3eb708f7a2c8ec2e0ee8373d3ae57f8b,,,,legacy_corpus,2026-03-11T09:45:34.170921+00:00,system_seed,Auto-approved from verified production corpus
CORP-0006,,,California NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,2026-03-11T09:45:34.176942+00:00,,US-CA,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/California NorwegianCare Ver. 260101.pdf,pdf-parse-native,True,6,False,Seeded from existing verified corpus,798bca9c5e8cd554e9675db8fdec158f,,,,legacy_corpus,2026-03-11T09:45:34.176954+00:00,system_seed,Auto-approved from verified production corpus
CORP-0007,,,California State University.pdf,academic,pdf_native_text,2026-03-11T09:45:34.181232+00:00,,US-CA,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/California State University.pdf,pdf-parse-native,True,3,False,Seeded from existing verified corpus,16c9da05e64602b25b0bf97e315c887a,,,,legacy_corpus,2026-03-11T09:45:34.181243+00:00,system_seed,Auto-approved from verified production corpus
CORP-0008,,,Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.185881+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/Chase Sapphire Preferred Visa Signature benefit coverage.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,e7c9f93d6d49798661765aa99e8eca8d,,,,legacy_corpus,2026-03-11T09:45:34.185896+00:00,system_seed,Auto-approved from verified production corpus
CORP-0009,,,Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.188581+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,pdf-parse-native,True,4,False,Seeded from existing verified corpus,cdcd2b7cde41831542e36b912908d7a6,,,,legacy_corpus,2026-03-11T09:45:34.188587+00:00,system_seed,Auto-approved from verified production corpus
CORP-0010,,,Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,pdf_native_text,2026-03-11T09:45:34.237153+00:00,,US,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,pdf-parse-native,True,9,False,Seeded from existing verified corpus,8ede280b684f201150c441b6ae899fe9,,,,legacy_corpus,2026-03-11T09:45:34.237165+00:00,system_seed,Auto-approved from verified production corpus
CORP-0011,,,Delt Contract of Carriage.pdf,airline,pdf_native_text,2026-03-11T09:45:34.241955+00:00,,undetected,en,high,approved_for_corpus,/home/claude/repo/data/corpus/active/Delt Contract of Carriage.pdf,pdf-parse-native,True,7,False,Seeded from existing verified corpus,9a85faa083e0976eb39765de56101de8,,,,legacy_corpus,2026-03-11T09:45:34.241961+00:00,system_seed,Auto-approved from verified production corpus
CORP-0012,,,Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,pdf_native_text,2026-03-11T09:45:34.245158+00:00,,undetected,en,medium,approved_for_corpus,/home/claude/repo/data/corpus/active/Does Renters Insurance Cover Theft_ _ Progressive.pdf,pdf-parse-native,True,5,False,Seeded from existing verified corpus,9f8e6282653d8cf6f392f3cc8a294d6b,,,,legacy_corpus,2026-03-11T09:45:34.245163+00:00,system_seed,Auto-approved from verified production corpus
CORP-0013,,,EW-Benefit-Guide_314-399_EDT-10.20_REV_4.24_a11y2.pdf,credit_card,pdf_native_text,2026-03-11T09:45:34.247662+00:00,,undetected,en,unverified,approved_for_corpus,/home/claude/repo/data/corpus/active/EW-Benefit-Guide_314-399_EDT-10.20_REV_4.24_a11y2.pdf,pdf-parse-native,True,13,False,Seeded from existing verified corpus,5bcfe1d222c311994f79ed07d240853d,,,,legacy_corpus,2026-03-11T09:45:34.247666+00:00,system_seed,Auto-approved from verified production corpus
