document_name,source_family,artifact_type,parse_status,sections,raw_candidates,consolidated,normalized,promoted,top_clause
2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,pdf_native_text,success,44,43,38,38,1,round_trip_requirement
2026 amex _Platinum_TermsandConditions.pdf,credit_card,pdf_native_text,success,118,80,71,71,3,payment_method_requirement
2026-2027-ACIS-International-Protection-Plans.pdf,other,pdf_native_text,success,23,24,22,22,1,refund_eligibility_rule
American Airlines Conditions of Carriage.txt,airline,txt,success,66,52,45,45,2,refund_eligibility_rule
American Express 2026 Benefit Guide.pdf,airline,pdf_native_text,success,28,38,36,36,2,payment_method_requirement
California NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,72,80,62,62,3,common_carrier_requirement
California State University.pdf,academic,pdf_native_text,success,14,11,10,10,3,refund_eligibility_rule
Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,pdf_native_text,success,144,161,133,133,3,payment_method_requirement
Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,pdf_native_text,success,186,198,154,154,3,payment_method_requirement
Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,pdf_native_text,success,70,41,38,38,4,round_trip_requirement
Delt Contract of Carriage.pdf,airline,pdf_native_text,success,209,98,81,81,2,round_trip_requirement
Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,pdf_native_text,success,33,5,5,5,1,trip_cancellation_limit
EW-Benefit-Guide_314-399_EDT-10.20_REV_4.24_a11y2.pdf,insurance,pdf_native_text,success,49,22,22,22,4,payment_method_requirement
FLorida NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,66,77,60,60,3,common_carrier_requirement
Florida Royal Caribbean Travel Protection document.pdf,cruise,pdf_native_text,success,60,64,53,53,3,common_carrier_requirement
G23.pdf,other,pdf_native_text,success,3,2,2,2,0,common_carrier_requirement
General_Conditions_of_Carriage_for_Passengers_and_Baggage_(flight_ticket_GCC).pdf,airline,pdf_native_text,success,80,34,31,31,1,round_trip_requirement
Loyalty_Program_Terms_and_Conditions.mhtml,hotel,mhtml,success,191,77,71,71,2,payment_method_requirement
Melia Rewards _ Terms and Conditions.pdf,hotel,pdf_native_text,success,23,2,2,2,1,claim_deadline_days
NY NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,92,101,66,66,3,common_carrier_requirement
New York Royal Carribean Protection.pdf,rental,pdf_native_text,success,85,89,62,62,3,common_carrier_requirement
PHIP-Travel-Comparison-2026.pdf,other,pdf_native_text,success,4,8,6,6,1,baggage_liability_limit
Philippine airlines general conditions of carriage full version.pdf,airline,pdf_native_text,success,89,22,18,18,2,round_trip_requirement
Royal_Caribbean_booklet_.pdf,rental,pdf_native_text,success,112,98,95,95,4,common_carrier_requirement
Standard_Contract_of_carriage_-_Alaska_Airlines.mhtml,airline,mhtml,success,34,12,12,12,1,round_trip_requirement
Terms & Conditions.pdf,other,pdf_native_text,success,9,5,5,5,1,refund_eligibility_rule
Terms and Conditions of Carriage for KT Flights _ AirAsia MOVE.pdf,airline,pdf_native_text,success,177,59,41,41,3,refund_eligibility_rule
United Airlines Lenghty Tarmac Plan.txt,airline,txt,success,2,0,0,0,0,none
United Contract of Carriage.txt,airline,txt,success,94,123,107,107,5,round_trip_requirement
WKS_#U00d6AMTC_2026_Englisch.pdf,other,pdf_native_text,success,16,8,8,8,1,trip_cancellation_limit
air-new-zealand-modern-slavery-act-statement-2023.pdf,airline,pdf_native_text,success,14,8,8,8,0,common_carrier_requirement
amex return protection.pdf,credit_card,pdf_native_text,success,5,12,11,11,5,payment_method_requirement
amex travel protection-Benefit-Guide_316-404_EDT_10.20_REV_4.24_a11y.pdf,credit_card,pdf_native_text,success,48,22,22,22,3,payment_method_requirement
budget-us-protections-coverages-brochure-010224.pdf,rental,pdf_native_text,success,10,16,16,16,0,round_trip_requirement
ca-booking-conditions-jan-2025.pdf,hotel,pdf_native_text,success,71,73,71,71,2,common_carrier_requirement
cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.0001.02_DOC_1.pdf,eu_jurisdiction,pdf_native_text,success,109,39,29,29,1,refund_eligibility_rule
cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.xml,eu_jurisdiction,xml,success,1682,50,4,4,0,refund_eligibility_rule
ctp_accident-report-form.pdf,other,pdf_native_text,success,11,3,3,3,2,requires_receipts
eu Documents..pdf,eu_jurisdiction,pdf_native_text,success,33,7,7,7,0,refund_eligibility_rule
factsheet_package_holidays_2018.06_en_web.pdf,eu_jurisdiction,pdf_native_text,success,11,6,6,6,2,common_carrier_requirement
frontier contract of carriage.pdf,airline,pdf_native_text,success,149,77,73,73,5,round_trip_requirement
main.govpilot.com_web_public_b5c0642b-18f_Citizen-Incident-Reports-City-of-Elizabeth_uid=7414&ust=NJ&pu=1&id=0.pdf,other,pdf_native_text,success,4,1,1,1,0,round_trip_requirement
premier world discovery travel protction.pdf,insurance,pdf_native_text,success,7,15,15,15,5,trip_delay_threshold
southwest contract-of-carriage.pdf,airline,pdf_native_text,success,219,100,94,94,6,common_carrier_requirement
sun country airlines_Contract_of_Carriage.pdf,airline,pdf_native_text,success,165,91,82,82,5,common_carrier_requirement
vacation express.pdf,insurance,pdf_native_text,success,6,10,9,9,1,refund_eligibility_rule
