document_name,source_family,artifact_type,parse_status,sections,raw_candidates,consolidated,normalized,promoted,top_clause
2025-2026-umass-international-travel-insurance-brochure.pdf,insurance,pdf_native_text,success,48,109,79,79,3,round_trip_requirement
2026 amex _Platinum_TermsandConditions.pdf,credit_card,pdf_native_text,success,118,107,92,92,11,payment_method_requirement
2026-2027-ACIS-International-Protection-Plans.pdf,other,pdf_native_text,success,37,120,87,87,6,refund_eligibility_rule
American Airlines Conditions of Carriage.txt,airline,txt,success,66,76,65,65,3,refund_eligibility_rule
American Express 2026 Benefit Guide.pdf,airline,pdf_native_text,success,29,43,41,41,3,payment_method_requirement
California NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,72,121,103,103,6,common_carrier_requirement
California State University.pdf,academic,pdf_native_text,success,14,12,11,11,3,refund_eligibility_rule
Chase Sapphire Preferred Visa Signature benefit coverage.pdf,credit_card,pdf_native_text,success,144,229,188,188,5,payment_method_requirement
Chase Sapphire Reserve Visa Infinite Coverage Benefits Guide.pdf,credit_card,pdf_native_text,success,186,282,218,218,4,payment_method_requirement
Conditions of Carriage _ Ethiopian Airlines United States of America _ US.pdf,airline,pdf_native_text,success,83,85,74,74,9,round_trip_requirement
Delt Contract of Carriage.pdf,airline,pdf_native_text,success,209,142,123,123,7,round_trip_requirement
Does Renters Insurance Cover Theft_ _ Progressive.pdf,rental,pdf_native_text,success,45,32,21,21,5,rental_car_damage_limit
EW-Benefit-Guide_314-399_EDT-10.20_REV_4.24_a11y2.pdf,insurance,pdf_native_text,success,50,33,33,33,13,payment_method_requirement
FLorida NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,66,118,101,101,6,common_carrier_requirement
Florida Royal Caribbean Travel Protection document.pdf,cruise,pdf_native_text,success,60,96,85,85,6,common_carrier_requirement
G23.pdf,other,pdf_native_text,success,3,2,2,2,0,common_carrier_requirement
General_Conditions_of_Carriage_for_Passengers_and_Baggage_(flight_ticket_GCC).pdf,airline,pdf_native_text,success,80,54,51,51,4,round_trip_requirement
Loyalty_Program_Terms_and_Conditions.mhtml,hotel,mhtml,success,191,113,100,100,4,payment_method_requirement
Melia Rewards _ Terms and Conditions.pdf,hotel,pdf_native_text,success,23,2,2,2,1,claim_deadline_days
NY NorwegianCare Ver. 260101.pdf,cruise,pdf_native_text,success,92,147,107,107,6,common_carrier_requirement
New York Royal Carribean Protection.pdf,rental,pdf_native_text,success,85,126,95,95,6,common_carrier_requirement
PHIP-Travel-Comparison-2026.pdf,other,pdf_native_text,success,6,30,26,26,0,emergency_evacuation_limit
Philippine airlines general conditions of carriage full version.pdf,airline,pdf_native_text,success,91,27,22,22,2,round_trip_requirement
Royal_Caribbean_booklet_.pdf,rental,pdf_native_text,success,130,171,150,150,9,common_carrier_requirement
Standard_Contract_of_carriage_-_Alaska_Airlines.mhtml,airline,mhtml,success,34,13,13,13,1,round_trip_requirement
Terms & Conditions.pdf,other,pdf_native_text,success,10,5,5,5,1,refund_eligibility_rule
Terms and Conditions of Carriage for KT Flights _ AirAsia MOVE.pdf,airline,pdf_native_text,success,177,75,55,55,5,refund_eligibility_rule
United Airlines Lenghty Tarmac Plan.txt,airline,txt,success,2,1,1,1,0,eu_care_obligation
United Contract of Carriage.txt,airline,txt,success,94,163,143,143,9,round_trip_requirement
WKS_#U00d6AMTC_2026_Englisch.pdf,other,pdf_native_text,success,16,24,22,22,5,eu_care_obligation
air-new-zealand-modern-slavery-act-statement-2023.pdf,airline,pdf_native_text,success,14,9,9,9,1,common_carrier_requirement
amex return protection.pdf,credit_card,pdf_native_text,success,5,20,19,19,13,payment_method_requirement
amex travel protection-Benefit-Guide_316-404_EDT_10.20_REV_4.24_a11y.pdf,credit_card,pdf_native_text,success,50,28,27,27,6,payment_method_requirement
budget-us-protections-coverages-brochure-010224.pdf,rental,pdf_native_text,success,15,42,41,41,5,round_trip_requirement
ca-booking-conditions-jan-2025.pdf,hotel,pdf_native_text,success,76,130,119,119,5,common_carrier_requirement
cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.0001.02_DOC_1.pdf,eu_jurisdiction,pdf_native_text,success,109,56,39,39,2,refund_eligibility_rule
cellar_2f65bf46-8f8a-11ee-8aa6-01aa75ed71a1.xml,eu_jurisdiction,xml,success,1682,50,4,4,0,refund_eligibility_rule
ctp_accident-report-form.pdf,other,pdf_native_text,success,11,3,3,3,2,requires_receipts
eu Documents..pdf,eu_jurisdiction,pdf_native_text,success,33,25,25,25,3,eu_rerouting_obligation
factsheet_package_holidays_2018.06_en_web.pdf,eu_jurisdiction,pdf_native_text,success,12,11,11,11,3,eu_care_obligation
frontier contract of carriage.pdf,airline,pdf_native_text,success,149,119,112,112,13,round_trip_requirement
main.govpilot.com_web_public_b5c0642b-18f_Citizen-Incident-Reports-City-of-Elizabeth_uid=7414&ust=NJ&pu=1&id=0.pdf,other,pdf_native_text,success,6,2,2,2,0,round_trip_requirement
premier world discovery travel protction.pdf,insurance,pdf_native_text,success,7,27,27,27,14,trip_delay_threshold
southwest contract-of-carriage.pdf,airline,pdf_native_text,success,219,122,116,116,9,common_carrier_requirement
sun country airlines_Contract_of_Carriage.pdf,airline,pdf_native_text,success,188,150,138,138,9,common_carrier_requirement
vacation express.pdf,insurance,pdf_native_text,success,6,24,22,22,5,refund_eligibility_rule
